Название;Характеристики;Ссылка;Картинка
AudiQ8S-line;340л.с. 2020 Полный  18.900Р/сутки;https://carloson.ru/car/arenda-audi-q8;https://carloson.ru/uploads/images/cars/63/a0a5e579021fe766eedb7e98b56e825d.jpg
AudiRSQ8;600л.с. 2021 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-audi-rsq8-black;https://carloson.ru/uploads/images/cars/119/a6619eccf3df44bf259c9600f325f3aa.jpg
AudiRSQ8;600л.с. 2021 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-rs-q8-grey;https://carloson.ru/uploads/images/cars/120/d689d40eb1afc43dddd976703f269029.jpg
BentleyBentaygaFirstEdition;550л.с. 2021 Полный  69.000Р/сутки;https://carloson.ru/car/arenda-bentley-bentayga;https://carloson.ru/uploads/images/cars/92/f2f7a0e43c1e2a3a7dec772f436dbd0a.jpg
BMWX5M-SPORT;340л.с. 2019 Полный  16.900Р/сутки;https://carloson.ru/car/arenda-bmw-x5-g05;https://carloson.ru/uploads/images/cars/22/de6cf6b0193680e797ac065eee95587d-619x422.jpg
BMWX6M-SPORT;249л.с. 2020 Полный  19.000Р/сутки;https://carloson.ru/car/arenda-bmw-x6;https://carloson.ru/uploads/images/cars/24/31e49e91bd631b69732969c4bc70b1f3-619x422.jpg
BMWX7M-SPORT;249л.с. 2019 Полный  19.900Р/сутки;https://carloson.ru/car/arenda-bmw-x7;https://carloson.ru/uploads/images/cars/23/890bcc450e37f6b5ca345de86342813d-619x422.jpg
BMWX5M-SPORT;249л.с. 2020 Полный  16.900Р/сутки;https://carloson.ru/car/arenda-bmw-x5d-g05;https://carloson.ru/uploads/images/cars/52/6fb4d8ebe9ecf6088096a77cfb30e082-619x422.jpg
BMWX7M-SPORT;340л.с. 2020 Полный  19.900Р/сутки;https://carloson.ru/car/arenda-bmw-x7-new;https://carloson.ru/uploads/images/cars/53/c98a5243f85227f59fe711d125e0a76f-619x422.jpg
BMWX6MCompetition;625л.с. 2020 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-bmw-x6m-competition;https://carloson.ru/uploads/images/cars/68/af9825776677b5c684f3fc7a0fc44db2.jpg
BMWX5MCompetition;625л.с. 2021 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-bmw-x5m-competition;https://carloson.ru/uploads/images/cars/97/DSCF0359 — копия-619x422.jpg
